segment_value,transformed_feature,base_feature,importance
GLOBAL,Road_Name_target_mean,Road_Name_target_mean,0.09512482024729252
GLOBAL,property_district_Name_target_mean,property_district_Name_target_mean,0.044114197604358196
GLOBAL,Road_code_target_mean,Road_code_target_mean,0.03651304543018341
GLOBAL,PS_Name_target_mean,PS_Name_target_mean,0.033623949624598026
GLOBAL,Adjacent_to_Metal_Road_flag,Adjacent_to_Metal_Road_flag,0.02462327480316162
GLOBAL,Area,Area,0.020752725657075644
GLOBAL,Mouza_Name_target_mean,Mouza_Name_target_mean,0.016316376626491547
GLOBAL,Approach_Road_Width,Approach_Road_Width,0.016113097313791513
GLOBAL,PS_Name,PS_Name,0.007801398407900706
GLOBAL,presentation_year,presentation_year,0.007180143613368273
GLOBAL,Zone_no_target_mean,Zone_no_target_mean,0.006975966738536954
GLOBAL,Road_Name,Road_Name,0.006005226694135357
GLOBAL,property_district_Name,property_district_Name,0.005730195067978154
GLOBAL,registration_year,registration_year,0.005003176862373948
GLOBAL,Is_Property_on_Road_flag,Is_Property_on_Road_flag,0.004559996305033565
GLOBAL,Zone_no,Zone_no,0.004543972463579848
GLOBAL,Proposed_Land_use_Name,Proposed_Land_use_Name,0.004072199879114383
GLOBAL,Proposed_Land_use_Code,Proposed_Land_use_Code,0.0038425696915035824
GLOBAL,Is_Property_on_Road,Is_Property_on_Road,0.0036089422064833343
GLOBAL,facility_group_transport_count_1km,facility_group_transport_count_1km,0.0033034580992534757
GLOBAL,presentation_quarter,presentation_quarter,0.0030949232168495655
GLOBAL,Rural_flag,Rural_flag,0.002979745506308973
GLOBAL,presentation_month,presentation_month,0.00285395301762037
GLOBAL,Urban_flag,Urban_flag,0.002803163370117545
GLOBAL,Adjacent_to_Metal_Road,Adjacent_to_Metal_Road,0.00278979392896872
GLOBAL,GP_target_mean,GP_target_mean,0.002680924953892827
GLOBAL,Road_code,Road_code,0.002670181884062842
GLOBAL,Transaction_code,Transaction_code,0.002436251669877958
GLOBAL,latitude,latitude,0.0024291211448144168
GLOBAL,nearest_road_width,nearest_road_width,0.002408709260635078
GLOBAL,longitude,longitude,0.0023159717093221843
GLOBAL,Transaction_Name,Transaction_Name,0.0023136579466376045
GLOBAL,facility_group_religious_tourism_count_1km,facility_group_religious_tourism_count_1km,0.0021658475161530077
GLOBAL,registration_month,registration_month,0.002130954439053312
GLOBAL,facility_group_education_count_1km,facility_group_education_count_1km,0.001993878307985142
GLOBAL,log_distance_to_nearest_road,log_distance_to_nearest_road,0.001993735379073769
GLOBAL,distance_to_nearest_facility_missing_flag,distance_to_nearest_facility_missing_flag,0.0019107912958133966
GLOBAL,distance_to_nearest_road_missing_flag,distance_to_nearest_road_missing_flag,0.0018696054175961763
GLOBAL,facility_group_market_count_1km,facility_group_market_count_1km,0.001862766279373318
GLOBAL,distance_to_nearest_road,distance_to_nearest_road,0.00175293511711061
GLOBAL,registration_quarter,registration_quarter,0.0017390262219123542
GLOBAL,presentation_hour,presentation_hour,0.0017225586343556643
GLOBAL,facility_count_1km,facility_count_1km,0.0017224421026185155
GLOBAL,distance_to_nearest_facility,distance_to_nearest_facility,0.0016442798369098455
